"Eared Grebe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Northern Gannet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cw",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cw",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Double-crested Cormorant",110,34,49,31,17,17,44,46,56,41,35,74,46,31,19,16,7,4,8,3,2,1,0,9,2,3,0,4,5,2,1,"cw",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cw",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"American Bittern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Great Blue Heron (Blue form)",8,9,15,15,8,6,6,12,5,13,6,6,8,7,5,4,1,9,7,7,"cw",3,2,2,6,7,1,3,32,12,8,13,1,3,6,1,1,4,4,3,3,15,5,6,2,1,1,1,1,2,1,0,5,6,2,2,2,0,3,2,1,1,"cw",2,2,2,0,0,2,0,0,1,2,0,0,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Black-crowned Night-Heron",0,1,11,10,2,4,3,6,1,1,8,5,7,2,0,3,0,0,1,0,0,1,0,9,10,1,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cw",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black Vulture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey Vulture","cw",2,0,0,0,0,"cw",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Golden Eagle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Northern Harrier",1,4,2,1,1,3,1,1,3,5,2,5,1,0,0,4,2,2,1,0,2,0,4,1,3,3,3,2,4,0,0,2,1,2,3,"cw",0,0,0,2,0,0,0,2,3,1,3,2,1,2,0,9,15,2,15,2,0,1,2,6,0,1,1,1,3,3,0,0,5,3,1,1,1,1,1,1,1,3,5,1,3,0,0,0,0,1,0,0,0,0,0,0
